epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,1080.87,0.52762,0.48769,0.46644,0.41937,0.96848,0.98795,0.99976,0.99428,0.92492,0.98795,0.99976,0.99428,0.9674,0.42657,0.32284,0.23889,0.29609,0.89623,0.0005348,0.0005348,0.0005348
39,1109.32,0.51506,0.51768,0.47613,0.40548,0.9722,0.98455,1,0.99452,0.9157,0.98455,1,0.99452,0.96377,0.41955,0.3371,0.23907,0.29341,0.89557,0.0004952,0.0004952,0.0004952
40,1137.7,0.48324,0.47593,0.45923,0.38706,0.94505,0.98628,1,0.99476,0.91536,0.98628,1,0.99476,0.96435,0.42191,0.34307,0.23669,0.278,0.8947,0.0004556,0.0004556,0.0004556
41,1166.19,0.37372,0.30724,0.27916,0.32418,0.88662,0.98758,1,0.99464,0.91009,0.98758,1,0.99464,0.9742,0.43355,0.32227,0.21229,0.27787,0.8916,0.000416,0.000416,0.000416
42,1194.6,0.36509,0.30025,0.25352,0.28102,0.86834,0.9859,1,0.99452,0.91379,0.9859,1,0.99452,0.95027,0.42617,0.3363,0.19041,0.28242,0.89791,0.0003764,0.0003764,0.0003764
43,1222.85,0.34039,0.30058,0.26409,0.27192,0.86411,0.98702,1,0.99452,0.92407,0.98702,1,0.99452,0.96915,0.41556,0.28032,0.18773,0.28038,0.89976,0.0003368,0.0003368,0.0003368
44,1250.99,0.31862,0.25989,0.26002,0.24875,0.8713,0.986,1,0.99464,0.92362,0.986,1,0.99464,0.97548,0.42475,0.27938,0.1806,0.27736,0.90607,0.0002972,0.0002972,0.0002972
45,1279.46,0.32716,0.28299,0.27245,0.24975,0.85661,0.98486,1,0.99464,0.92933,0.98486,1,0.99464,0.97881,0.42398,0.28017,0.17817,0.27207,0.91031,0.0002576,0.0002576,0.0002576
46,1307.89,0.30472,0.26822,0.24355,0.2325,0.84632,0.98722,1,0.99488,0.93355,0.98722,1,0.99488,0.98278,0.41561,0.24857,0.17868,0.26033,0.91135,0.000218,0.000218,0.000218
47,1336.4,0.28853,0.19777,0.23776,0.22743,0.82436,0.98737,1,0.99488,0.93988,0.98737,1,0.99488,0.98349,0.40365,0.23155,0.16761,0.24622,0.90436,0.0001784,0.0001784,0.0001784
48,1364.98,0.29458,0.2209,0.23827,0.23306,0.83378,0.98724,1,0.99488,0.94157,0.98724,1,0.99488,0.98389,0.40222,0.21186,0.15437,0.2459,0.90308,0.0001388,0.0001388,0.0001388
49,1393.4,0.27916,0.21933,0.2408,0.22509,0.84017,0.98718,1,0.99488,0.94332,0.98718,1,0.99488,0.98358,0.40184,0.20604,0.14989,0.24607,0.90708,9.92e-05,9.92e-05,9.92e-05
50,1421.94,0.28414,0.24455,0.22656,0.22602,0.83469,0.97528,1,0.99476,0.94168,0.97528,1,0.99476,0.98424,0.39776,0.20552,0.14845,0.24404,0.90833,5.96e-05,5.96e-05,5.96e-05
